thisN,thisTrialN,thisRepN,target_resp.keys,target_resp.rt,target_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,inst_text.started,start_resp.started,instructions.stopped,start_resp.keys,start_resp.rt,start_resp.duration,trial.started,cue.started,cue.stopped,target.started,target_resp.started,trial.stopped,trials.target_resp.keys,trials.target_resp.rt,trials.target_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.021406899992143735,0.04547290000482462,0.04547290000482462,1.0005151999939699,space,0.9332915999984834,None,,,,,,,,,,pilot,001,2025-10-30_16h21.37.470,oct30exp,,2025.1.1,59.866187100683625,2025-10-30 16h21.41.338600 -0400,
0,0,0,space,2.900840000016615,None,0,0,0,0,1.0268452000163961,,,,,,,,,1.0014584000164177,1.0268452000163961,1.5265490000019781,1.6096093000087421,1.6096093000087421,4.514718899998115,space,2.900840000016615,None,pilot,001,2025-10-30_16h21.37.470,oct30exp,,2025.1.1,59.866187100683625,2025-10-30 16h21.41.338600 -0400,
1,0,1,space,0.8589590999763459,None,1,0,1,0,4.526950900006341,,,,,,,,,4.514919300010661,4.526950900006341,5.026480600005016,5.126460600004066,5.126460600004066,6.0005148999916855,space,0.8589590999763459,None,pilot,001,2025-10-30_16h21.37.470,oct30exp,,2025.1.1,59.866187100683625,2025-10-30 16h21.41.338600 -0400,
2,0,2,space,0.31110910000279546,None,2,0,2,0,6.009967399993911,,,,,,,,,6.000701700017089,6.009967399993911,6.509685199998785,6.610473300010199,6.610473300010199,6.930099399993196,space,0.31110910000279546,None,pilot,001,2025-10-30_16h21.37.470,oct30exp,,2025.1.1,59.866187100683625,2025-10-30 16h21.41.338600 -0400,
3,0,3,space,0.4685495000157971,None,3,0,3,0,6.942981400003191,,,,,,,,,6.930285300011747,6.942981400003191,7.4434326000045985,7.543846000015037,7.543846000015037,8.015361199999461,space,0.4685495000157971,None,pilot,001,2025-10-30_16h21.37.470,oct30exp,,2025.1.1,59.866187100683625,2025-10-30 16h21.41.338600 -0400,
4,0,4,space,0.41040979998069815,None,4,0,4,0,8.026949899998726,,,,,,,,,8.01557389998925,8.026949899998726,8.528292700008024,8.628248699998949,8.628248699998949,9.047079800016945,space,0.41040979998069815,None,pilot,001,2025-10-30_16h21.37.470,oct30exp,,2025.1.1,59.866187100683625,2025-10-30 16h21.41.338600 -0400,
