9.4474 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
9.4633 	INFO 	Loaded monitor calibration from ['2025_10_02 14:32']
10.4699 	INFO 	Using renderer 'AMD Radeon(TM) Graphics' for graphics
10.4700 	INFO 	OpenGL version supported by driver is 4..
10.5111 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002454E5B1780>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002454E5B17E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002454E64F940>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(560.0), np.float64(240.0)], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.5114 	EXP 	window1: backgroundImage = ''
10.5114 	EXP 	window1: backgroundFit = 'none'
10.5690 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.5959 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.6206 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.6407 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.6596 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.6815 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.7050 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.7268 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.7457 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.7655 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.7967 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8350 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.8784 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.9113 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
